Sun Jun 25 19:35:16 2017    restats

         433989117 function calls (423537190 primitive calls) in 498.746 seconds

   Ordered by: internal time
   List reduced from 279 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       90    0.233    0.003    0.521    0.006 rstr_max.py:67(step3_rstr)
   967003    0.200    0.000    0.200    0.000 {method 'values' of 'dict' objects}
    82251    0.195    0.000    0.221    0.000 rstr_max.py:118(removeMany)
   879568    0.191    0.000    0.191    0.000 {method 'translate' of 'str' objects}
   868021    0.165    0.000    0.165    0.000 dseq.py:1292(ovhg)
     1156    0.163    0.000    2.499    0.002 _simple_paths8_GT.py:53(all_circular_paths_edges)
   624849    0.124    0.000    0.124    0.000 __init__.py:2146(<lambda>)
       90    0.111    0.001    2.210    0.025 rstr_max.py:15(step1_sort_suffix)
   624941    0.089    0.000    0.089    0.000 __init__.py:547(key_type)
   126873    0.076    0.000    0.076    0.000 {method 'tolist' of 'numpy.ndarray' objects}
      272    0.052    0.000    0.052    0.000 tools_karkkainen_sanders.py:48(<listcomp>)
      272    0.047    0.000    0.047    0.000 tools_karkkainen_sanders.py:77(<listcomp>)
        1    0.047    0.047  498.746  498.746 <string>:1(<module>)
       90    0.026    0.000    2.099    0.023 tools_karkkainen_sanders.py:30(direct_kark_sort)
     2310    0.023    0.000   23.052    0.010 utils.py:399(SmallestRotation)
       90    0.021    0.000    3.073    0.034 common_sub_strings.py:16(common_sub_strings)
     1180    0.019    0.000    0.019    0.000 {method 'update' of '_hashlib.HASH' objects}


