Sun Jun 25 19:26:07 2017    restats

         418587451 function calls (408153286 primitive calls) in 442.942 seconds

   Ordered by: internal time
   List reduced from 223 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   865485    0.171    0.000    0.171    0.000 dseq.py:1292(ovhg)
    17219    0.124    0.000    0.168    0.000 _simple_paths8_NX.py:14(_all_simple_paths_graph)
       90    0.111    0.001    2.218    0.025 rstr_max.py:15(step1_sort_suffix)
   187451    0.062    0.000    0.062    0.000 graph.py:379(__getitem__)
      272    0.052    0.000    0.052    0.000 tools_karkkainen_sanders.py:48(<listcomp>)
      272    0.048    0.000    0.048    0.000 tools_karkkainen_sanders.py:77(<listcomp>)
        1    0.044    0.044  442.942  442.942 <string>:1(<module>)
      844    0.027    0.000    0.061    0.000 _simple_paths8_NX.py:72(all_circular_paths_edges)
       90    0.027    0.000    2.107    0.023 tools_karkkainen_sanders.py:30(direct_kark_sort)
       90    0.021    0.000    3.077    0.034 common_sub_strings.py:16(common_sub_strings)
    17218    0.017    0.000    0.017    0.000 _simple_paths8_NX.py:59(<listcomp>)
  14367/1    0.017    0.000    0.040    0.040 copy.py:137(deepcopy)
    17218    0.016    0.000    0.016    0.000 _simple_paths8_NX.py:58(<listcomp>)
     1686    0.015    0.000   16.630    0.010 utils.py:399(SmallestRotation)
      688    0.015    0.000    0.028    0.000 cycles.py:104(simple_cycles)
      868    0.013    0.000    0.013    0.000 {method 'update' of '_hashlib.HASH' objects}
       90    0.013    0.000    0.013    0.000 tools_karkkainen_sanders.py:36(<listcomp>)
    51733    0.013    0.000    0.013    0.000 {built-in method builtins.next}


time graph gt- 0.02996826171875
linear path 465.2357728481293
circular time 30.326589107513428
